,selling_price,make,model,year,seller_type,km_driven,fuel_type,transmission_type,mileage,engine,max_power,seats
0,1.2,Maruti,Alto Std,12.0,Individual,120000,Petrol,Manual,19.7,796.0,46.3,5.0
1,5.5,Hyundai,Grand i10 Asta,8.0,Individual,20000,Petrol,Manual,18.9,1197.0,82.0,5.0
2,2.15,Hyundai,i20 Asta,14.0,Individual,60000,Petrol,Manual,17.0,1197.0,80.0,5.0
3,2.26,Maruti,Alto K10 2010-2014 VXI,12.0,Individual,37000,Petrol,Manual,20.92,998.0,67.1,5.0
4,5.7,Ford,Ecosport 2015-2021 1.5 TDCi Titanium BSIV,9.0,Dealer,30000,Diesel,Manual,22.77,1498.0,98.59,5.0
5,3.5,Maruti,Wagon R VXI BS IV,11.0,Individual,35000,Petrol,Manual,18.9,998.0,67.1,5.0
6,3.15,Hyundai,i10 Sportz 1.2,11.0,Dealer,40000,Petrol,Manual,20.36,1197.0,78.9,5.0
7,4.1,Maruti,Wagon R VXI,6.0,Dealer,17512,Petrol,Manual,20.51,998.0,67.04,5.0
8,10.5,Hyundai,Venue SX Plus Turbo DCT BSIV,5.0,Individual,20000,Petrol,Automatic,18.15,998.0,118.35,5.0
9,5.75,Mahindra,TUV 300 T6,7.0,Dealer,70000,Diesel,Manual,18.49,1493.0,100.0,7.0
10,3.05,Tata,Indigo LX (TDI) BS-III,9.0,Individual,50000,Diesel,Manual,19.09,1405.0,69.01,5.0
11,11.5,Renault,Captur Platine Dual Tone Diesel,5.0,Individual,18000,Diesel,Manual,20.37,1461.0,108.49,5.0
12,5.11,Maruti,Swift VXI with ABS,7.0,Dealer,28321,Petrol,Manual,16.6,1197.0,85.0,5.0
13,4.1,Nissan,Micra XL CVT,8.0,Dealer,27000,Petrol,Automatic,19.34,1198.0,76.0,5.0
14,4.25,Hyundai,Verna 1.6 SX,11.0,Dealer,65278,Diesel,Manual,22.32,1582.0,126.32,5.0
15,7.5,Renault,Duster 110PS Diesel RxL Explore,8.0,Individual,50000,Diesel,Manual,19.64,1461.0,108.45,5.0
16,32.5,Mini,Cooper Cooper S,7.0,Dealer,6000,Petrol,Automatic,14.41,1998.0,189.08,5.0
17,6.5,Maruti,Ciaz ZDi Plus SHVS,8.0,Dealer,76000,Diesel,Manual,28.09,1248.0,88.5,5.0
18,6.27,Maruti,Swift VDI BSIV,8.0,Individual,20000,Diesel,Manual,25.2,1248.0,74.0,5.0
19,14.25,Mercedes-Benz,C-Class C 220 CDI Avantgarde,10.0,Dealer,65000,Diesel,Automatic,19.27,2143.0,170.0,5.0
20,4.25,Maruti,Swift VDI,10.0,Dealer,62200,Diesel,Manual,28.4,1248.0,74.0,5.0
21,6.05,Toyota,Innova 2.5 GX (Diesel) 8 Seater,11.0,Individual,110000,Diesel,Manual,12.99,2494.0,100.6,8.0
22,6.0,Maruti,Baleno Zeta 1.2,9.0,Individual,20000,Petrol,Manual,21.4,1197.0,83.1,5.0
23,5.75,Maruti,Swift Dzire VXI,8.0,Individual,40000,Petrol,Manual,20.85,1197.0,83.14,5.0
24,2.6,Fiat,Grande Punto 1.3 Emotion Pack (Diesel),12.0,Individual,97000,Diesel,Manual,17.8,1248.0,76.0,5.0
25,4.25,Volkswagen,Vento 1.6 Comfortline BSIV,11.0,Dealer,47000,Petrol,Manual,16.09,1598.0,103.2,5.0
26,2.3,Maruti,Alto K10 2010-2014 VXI,11.0,Dealer,25000,Petrol,Manual,20.92,998.0,67.1,5.0
27,12.25,Hyundai,Creta 1.6 CRDi SX,5.0,Individual,15000,Diesel,Manual,19.67,1582.0,126.2,5.0
28,3.75,Mahindra,Xylo H9,14.0,Dealer,56823,Diesel,Manual,14.02,2179.0,118.3,8.0
29,7.5,Honda,City i VTEC VX,9.0,Individual,50000,Petrol,Manual,17.4,1497.0,117.3,5.0
30,3.5,Mahindra,Bolero SLE BSIII,13.0,Individual,25000,Diesel,Manual,13.6,2523.0,63.0,7.0
31,6.0,Maruti,Swift Dzire VDI,9.0,Individual,90000,Diesel,Manual,26.59,1248.0,74.0,5.0
32,3.9,Maruti,Swift Dzire LDI,11.0,Dealer,45000,Diesel,Manual,26.59,1248.0,74.0,5.0
33,1.45,Honda,City 2017-2020 GXi,17.0,Dealer,77253,Petrol,Manual,17.7,1497.0,78.0,5.0
34,7.0,Hyundai,i20 Active 1.2 SX,6.0,Individual,25000,Petrol,Manual,17.19,1197.0,81.86,5.0
35,11.5,Toyota,Fortuner 4x2 Manual,11.0,Individual,110000,Diesel,Manual,13.0,2982.0,168.5,7.0
36,3.4,Renault,KWID Climber 1.0 MT,7.0,Individual,30000,Petrol,Manual,23.01,999.0,67.0,5.0
37,4.65,Honda,Amaze S Petrol,8.0,Dealer,39993,Petrol,Manual,18.6,1199.0,88.76,5.0
38,1.25,Hyundai,Santro Xing GLS,15.0,Individual,80000,Petrol,Manual,17.92,1086.0,62.1,5.0
39,6.0,Mahindra,XUV500 W8 2WD,12.0,Individual,185000,Diesel,Manual,15.1,2179.0,140.0,7.0
40,3.8,Maruti,Swift Dzire VDI,11.0,Individual,90000,Diesel,Manual,23.4,1248.0,74.0,5.0
41,4.0,Mahindra,Xylo E8,15.0,Individual,60000,Diesel,Manual,14.0,2498.0,112.0,8.0
42,3.0,Chevrolet,Sail 1.3 Base,10.0,Individual,90000,Diesel,Manual,22.1,1248.0,74.0,5.0
43,5.0,Hyundai,Xcent 1.2 Kappa SX,9.0,Individual,20000,Petrol,Manual,19.1,1197.0,82.0,5.0
44,8.5,Hyundai,i20 1.4 Asta Option,6.0,Individual,15000,Diesel,Manual,22.54,1396.0,88.73,5.0
45,5.98,Hyundai,i20 1.2 Magna Executive,6.0,Individual,40000,Petrol,Manual,18.6,1197.0,81.83,5.0
46,7.0,Honda,City i VTEC CVT SV,9.0,Dealer,31180,Petrol,Automatic,18.0,1497.0,117.3,5.0
47,9.0,Mahindra,TUV 300 mHAWK100 T8 AMT,6.0,Individual,40000,Diesel,Automatic,18.49,1493.0,100.0,7.0
48,0.75,Maruti,800 Std,20.0,Individual,50000,Petrol,Manual,16.1,796.0,37.0,4.0
49,3.0,Tata,Indigo LS TDI BSIII,9.0,Individual,58000,Diesel,Manual,19.09,1396.0,69.0,5.0
50,4.1,Maruti,Swift Dzire ZDI,10.0,Dealer,56000,Diesel,Manual,23.4,1248.0,74.0,5.0
51,3.0,Fiat,Grande Punto 1.3 Emotion Pack 90HP (Diesel),13.0,Individual,93000,Diesel,Manual,20.5,1248.0,91.7,5.0
52,2.25,Ambassador,Avigo 1800 ISZ MPFI AC,14.0,Dealer,86000,Petrol,Manual,12.2,1817.0,75.0,5.0
53,3.0,Maruti,Swift VDI BSIV,13.0,Individual,120000,Diesel,Manual,17.8,1248.0,5.0,5.0
54,5.9,Maruti,Baleno Zeta Automatic,8.0,Dealer,52427,Petrol,Automatic,21.4,1197.0,83.1,5.0
55,8.5,Mahindra,Bolero B6,4.0,Individual,40000,Diesel,Manual,21.0,1498.0,74.96,7.0
56,1.08,Tata,Nano Cx BSIV,13.0,Individual,70000,Petrol,Manual,26.0,624.0,35.0,4.0
57,5.5,Mahindra,KUV100 NXT G80 K8 5Str BSIV,6.0,Individual,17000,Petrol,Manual,18.15,1198.0,82.0,5.0
58,3.25,Toyota,Etios G,12.0,Dealer,54325,Petrol,Manual,17.6,1496.0,88.73,5.0
59,6.25,Maruti,Baleno Vxi - BSIII,8.0,Dealer,22000,Petrol,Manual,15.4,1590.0,94.0,5.0
60,6.0,Maruti,Swift Dzire ZXI,8.0,Individual,54000,Petrol,Manual,20.85,1197.0,83.14,5.0
61,4.45,Maruti,Wagon R LXI Optional,5.0,Individual,10000,Petrol,Manual,20.51,998.0,67.04,5.0
62,5.3,Maruti,Ignis 1.2 Delta BSIV,5.0,Individual,20000,Petrol,Manual,20.89,1197.0,81.8,5.0
63,3.85,Toyota,Corolla Altis GL,13.0,Dealer,61000,Petrol,Manual,14.53,1798.0,138.1,5.0
64,4.1,Maruti,Wagon R LXI CNG,6.0,Trustmark Dealer,53237,CNG,Manual,26.6,998.0,58.16,5.0
65,3.5,Datsun,RediGO Gold 1.0,6.0,Individual,27263,Petrol,Manual,22.5,999.0,68.0,5.0
66,2.65,Tata,Indigo eLX BS IV,10.0,Individual,90000,Diesel,Manual,25.0,1396.0,69.01,5.0
